المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
disjunctive opposition	opposition disjonctive	تقابل التنافي
disjunctive prounoun	pronom disjonctive	ضمير منفصل
disjunctive sound	son disjonctif	صوت مقحم
dispersion (language)	dispersion linguistique	تشتت لغوي
displaced speech	référence a un réferent absent ; discours sur un référent absent	كلام عن الغائب
dissimilation	dissimilation	تبعيد صوتي (في مقابل التقريب) تخالف
dissimilatory phoneme	phonéme dissimilé	حرف مبعد فونيم تخالفي مؤدي إلى المخالفة)
dissonace	dissonace	تنافر الأصوات
distant assimilation	assimilation à distance ;métaphonie	مماثلة متباعدة  اتباع وانحناء  (إمالة إذ كانت خاصة بالفتحة)
distinctive	ditinctif	مميز
distinctive features	traits distinctifs	صفات مميزة
distinctive function	fonction distinctive	وظيفة  مميزة
distribution	distribution	استغراق (القرائن)
distributional analysis	analyse distributionnelle	تحليل استغراقي
distritionalism	distritionalisme	النظرية الاستغراقية أو القسمية
distributional law	loi de distribution	قانون استغراقي
disyllabic	dissyllabe	ثنائي المقطع (كلمة تتألف من مقطعين)
divergent change	changement (phonétique) divergent	تحول افتراقي
documentary language	langage documentaire	اصطلاح وثائقي (لغة تنظيم الوثائق)
domesticated word	emprunt intégré	دخيل موطن
dorsal	dorsal	من ظهر اللسان
dorso-alveolar	dorso-alvéolaire	نطعي من ظهر اللسان
dorso-palatal	dorso-palatal	شجري من ظهر اللسان
dorso-uvular	dorso-uvulaire	لهوي من ظهر اللسان
dorso-velar	dorso-vélaire	صفاقي من ظهر اللسان
dorsum	dos de la langue	ظهر اللسان
double articulation	double articulation	تقطيع مزدوج
double bar juncture	marque de l’intonation montante	علامة التنغيم الصاعد (في الأواخر)
double comparaison	comparaison a deux degrés	تفضيل بطرفين
double consonant	consonne double	صامت مضعف
double cross juncture	marque de l’intonation descendante	علامة التنغيم الحادر (في الأواخر)
double formanant	bi-formantique	مزدوج البانية
double négative	forme négative double	نفي مزدوج
doublet	doublet	رسيلة  (بدل أو غير بدل)
double vowel	voyelle double /longue	مصوت ممدود
doubling	gémination	تضعيف تشديد
drift	changement linguistique successifs	اتجاه (بالنسبة للتطور اللغوي) تحول
dual	duel	مثنى
dualist theory of meaning	théorie dualiste du sens	نظرية ثنائية (الدلالة)
duality of pattern	dualité de pattern	ثنائية النمط
dummy element	élément vide/abstrait	عنصر افتراضي
duration	durée ;quantité	المد(الصوت)
durative aspect	aspect duratif	صيغة الاستمرار
dynamic accent	accent dynamique	نبر حركي
dysarthria	dysarthrie	حكلة
dyslalia	duslalie	تعسر عضوي للكلام
dyslexia	dyslexie	تعسر القراءة
dysmelodia	dysmélodie	تعسر النغم
dysorthographia	dysorthographie	تعسر الاملاء
dysphonia	dysphonie	انقطاع الصوت
dysprosodia	dysprosodie	تعسر التطويح
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
echo word	onomatopée	مصاداة (كلمة محاكية للأصوات الطبيعية )
ecology	écologie du langage	دراسة بيئة اللغة
agressive	expiré	زفيري
ajective	éjectif ;glottalisé	منبور مهموز
electromygram	électromyogramme	معضالية
electromygraph	electromygraphe	معضال
element	élement	عنصر
elevation	amélioration	مدح تعظيم
eliciation	éliciation	استنطاق
elision	élision	ترخيم (حذف الآخر)
ellipsis	elipse	حذف إيجازي إضمار
elliptic construction	construction elliptique	تركيب محذوف منه
embedded sentence	phrase enchassée	جملة مضمنة تركيبا
embedding	enchassement	تضمين تركيبي للجملة
emotive accent	accent emotif	نبر انفعالي
emphasis	emphase	تفخيم في العربية  توكيد معنوي
emphatic articulation	articultion emphatique	نطق مفخم
emphatic prounoun	sons emphatique	ضمير منفصل
emphatics	sons emphatiques	أصوات مفخمة
emphatic word	mot emphatisé	كلمة مفخمة
empty word	mot-outil	كلمة وظيفية (أداة او حرف معنى)
enallage	énallage	تضمين
enclisis	enclise	انضواء وصل بالمتقدم
enclitic	enclitique ;enclinoméne	موصول بما قبله (صوت)
encoding	encodage	ترميز (تحويل إلى رموز)
ending	détente	إطلاق
ending suffix	désinence	علامة لاحقة (كعلامة الإعراب)
endocentric construction	construction endocentrique	تركيب مركزي (مشتمل على نظير)
endophasia	endophasie	كلام باطني كلام نفسي
engram	engramme	انطباعة
entropy	entropie	احتمال
entry	entrée (léxicale)	مدخل  (معجمي)
enumerative	énumératif	عدد توضيحي
enunciation	énonciation	فعل الكلام
enunciatory	énonciataire	المحدث أو المتحدث
environnement	environnement	سياق قرائن لفظية
environnemental conditioning	conditionent contextuel	تأثير السياق
epanalpsis	épanlpse	تشابه الأطراف
epenthesis	épenthése	تشابه الأطراف
epenthesis	épenthétique	إقحام الصوت
epenthetic	épenthétique	إقحامي
epexegesis	epexégése	عطف بيان
epicene	épicéne	محايد (في الجنس النحوي)
epiglottis	épiglotte	غلصمة
epigraphy	épigraphie	دراسة النقوش
epiphonema	epiphonéme	زيادة للتوضيح
episememe	épiséméme	دالة نحوية (أصغر وحدة نحوية ذات معنى)
epistemology	épistémologie	نظرية المعرفة
epithet	épithéte	نعت
eponym	éponyme	مسمى(من اسم شخص) منسوب إليه
equational sentence	phrase copulative	جملة تعادل (جملة اسمية خبرها اسمها أو شبه جملة) جملة كينونية (متضمنة لرابطة)
equational sentence	phrase capulative	فعل تعادلي فعل الكينونة
equilibrium of system	équilibre du system	اعتدال النظام قصد
equipollent	équipollent	متعادل
equivalence	équivalence	توافق (البناء)
equivalent sentences	phrases équivalente	جمل متكافئة نظائر الجمل
		
erasing	effacement	حذف
ergative	ergatif	حكم الفاعل المعنوي (حالة إعرابية في بعض اللغات)
error analysis	analyse des fautes	تحليل الأخطاء
esphageal cavity	cavité oesophagienne	تجويف مريئي صوت بلعومي
essive	essif	حكم الصفة الحادثة
ethnographic linguistics	linguistique éthnographie	اللسانيات  الأثنوغرافية
ethnolinguistics	éthnolinguistique	اللسانيات  الأنتولوجية
ethnophonemic transcription	transcription éthnophonétique	كتابة فونيمية  أنتولوجية
etic	étique	غير وظيفي
etymological  cognate	correspendant étymologique ;congénére  étymologique	نظير تأصيلي  مشتركات لفظية
etymological doublet	doublet étymologique	رسالة تاصيلية
etymlogy	étymologie	علم تاصيل الكلام
etymon	étymon	أصل الكلمة (الأصل التاريخي)
euphemism	euphémisme	تلطيف( للعبارة  أو للكلمة) كناية
euphony	euphonie	عذوبة الصوت رخامة الصوت
evaluation procedure	procédure d’évaluation	طريقة تقييمية
evolution	évolution	تطور
evolutionary linguistics	linguistique évolutive	اللسانيات التطورية
exception	éxcéption	شواذ
exceptive particle	particule axceptive	أداة استثناء
exceptive sentence	phrase exceptive	جملة استثنائية
exclamation	exclamation	تعجب
exclamation mark	point d’exclamation	علامة التعجب
exclusive (exhaustive) definition	définition exhaustive/exclusive	حد جامع مانع
exclusive first person (exclusive personal pronoun)	pronom personnel exclusif	صيغة المتكلم وحده
excrescent consonant	consonne épenthétique	صامت إقحامي
exhaltion ;expiration	exhalation ;expiration	زفير
exhautivity	exhaustivité	شمولية
existential sentence	phrase existentielle	جمل وجودية (دالة على الوجود إثباتا او نفيا)
exocentric  construction	construction  excentrique	تركيب غير مشتمل على نظير
exolinguistics	métalinguistique	دراسة الوضع الثنائي (دراسة اللغة الاصطلاحية) اللسانيات الانتروبولوجية
exophasia	exophasie	نطق مسموع
expansion	expansion	فضلة (كل ما يزاد على المسند والمسند إلي في مقابل العمدة) اتساع المعنى فرع (في النحو التوليدي)
experimental phonetics	phonétique expérimentale	الصوتيات التجريبية
expiratory accent	accent expiratoire	نبر زفيري
expiratory movement	mouvement expiratoire	حركة التصعد الزفير
explanatory	explicatif	تفسيري تعليلي
explanatory adequacy	adéquation explicatif	استيفاء التفسير
explétive	explétif	لغو حشو
explicative linguistics	linguistique explicative	اللسانيات التعليلية
explicatory diachronic linguistics	linguistique diachronique explicative	اللسانيات التطويرية التعليلية
explicit	explicite	ظاهر صريح
explosion	explosion	انفجار تحريك (في مقابل السكون)
expression	expression	تعبير
expressive	expressif	تعبيري (بليغ أو مثير،بلاغي)
expressive features	traits expressifs	صفات تعبيرية  (أو بلاغية)
expressive function	fonction expressive	وظيفية تعبيرية
expressive intonation	intonation expressive	نغمة معبرة
expressivity	expressivité	بلاغة،التعبيرية
extension	extention	اتساع في المعنى طرد الزيادة الذات في مقابل المفهوم
extensional meaning	sens étendu	معنى متوسع فيه
extengram	extensogramme	ممدادية
extensometer	extensomètre	ممداد
extensometery	extensometerie	قياس التمدد
external hiatus	hiatus externe	التقاء خارجي لمصوتين
extinct language	langue morte	لغة ميتة
extraction	extraction	استخراج
extra-lingual features	traits extra-linguistique	صفات غير لغوية
extra-nuclear	extra-nucléaire	خارج عن النواة
extrinsic meaning	sens extrinséque	معنى خارجي
eye dialect	imitation dialectale	صيغة مكتوبة للهجة
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
facte (indicative ) mood	mode indictif	صيغة الثبوت  (في مقابل صيغة الغاية أو الشرط وغيرهما)
facultative variant	alternant facultatif	بدل اختياري
fading	affaiblissement	ضعف
falling diphtong	diphtongue descendante	مزدوج حادر
falling -rising	descendant-croissant décroissant-croisant	حادر صاعد (بالنسبة للتنغيم الكلامي) متناقض متزايد
false cognate	faux congénére	نظير وهمي
false palate	palais artificiel	حنك صناعي
familiale style	style familial	أسلوب الخطاب المبتدل  (الاستئناسي أو الاسترسالي)
fomiliar forms	formes familieres	صيغ الألفة
family of languages	famille de langues	فصيلة لغوية
family terms	nom de parenté	أسماء القرابة
family tree theory	théorie de l’arbre généalogique	نظرية النسب اللغوي
faucalization	faucalisation ;resserement  du pharynx	تضييق وسط الحلق
faucal sounds	sons pharyngaux (étroits)	أصوات حلقية (بالمعنى العام)
favourite sentence	phrase type/favorite	جملة نموذجية
feature	trait	صفة
feminine	féminin	مؤنث
field linguistics	linguistique sur le terrain	اللسانيات الميدانية
field of discourse	champ du discours	مجال الكلام
field study	étude sur le terrain	دراسة ميدانية
figurative	figuratif ;figuré	مجاز
figurative language	langage figuré	أسلوب مجازي
figure of rhetoric	figure de rhétorique	تعبير بياني
figure of speech	figure d’expression	صورة بيانية
filler class	genre tagmétique	جنس موقعي (كل أفراد الجنس التي تقع في الموضع الواحد)
final oposition	position finale	موقع نهائي آخر الكلام
finite state grammar	grammaire d’état fini	نحو المراتب المتناهية النحو المتناهي
finite verb	forme conjuguée du verbe	فعل غير مصدري
first articulation	première articulation	التقطيع الأولي
first infinitive	infinitif sans marque (to)	الفعل كمصدر  بدون to (خاص بالانكليزية)
first language	langue premiére	لغة المنشأ
first person	premiére personne	صيغة المتكلم
first possessive	adjectifs possessifs	ضمائر الملكية
first sound shift	changement consonantique primaire	تحول صوتي أول
fixation	forme fossilisée ;fixation	أحفورة لغوية
fixed stress	accent fixe	نبر ثابت
fixed word order	ordre fixe des mots	نظام ثابت للكلمات
flap	son battant	صوت احادي الرعدة
flapped sound	son battu	قرعة
flat	bémolisé	مخفوض
flectional endings	désinences	علامات الإعراب
flectional language	langue flexionnelle	لغة تصريفية
flexion(flexion) ;inflexion	flexion	تصريف
floating element	élement explétif	لغو حشو (عنصر زائد غير مفيد)
fluctuating speling	orthographe variable	تهجئة متذبذبة
fluency	facilité (de parole)	فصاحة طلاقة اللسان
focal area	région (air) étudie	منطقة (تأثير لهجة على سواها)
focal word	mot focalisé	كلمة مصدرة (للتوكيد)
folk etymology	étymologie populaire	توهم (التأصيل العامي)
foreignism ;alienism	emprunt ;interférence	عبارة أعجمية عجمة
forlorn elements	forme non-déclinable ;élément invariable	غير منصرف
form	forme	صيغة
formal	formel	صوري
formal amalgam	amalgame formel	امتزاج صوري
formal grammar	grammaire formelle	نحو صوري نحو شكلي
formalization	formalisation	صياغة رياضية
formal regularity	régularité formelle	اطراد صوري
formal speech	style soutenu	كلام جزل
formant	formant	مكون (بالمعنى العام) بانية (في علم الأصوات الفزيائي)
form class	classe de mots	قبيل لغوي
formulaic language	language spécial	لغة خاصة
form word	mot outil ;mot fonctionnel	أداة معنى (حرف معنى)
fortis	forte (consonne) (levis)	قوي الاعتماد (أو الضغط) في مقابل
fossile	fossile linguistique	أحفورة لغوية
fossilized form	forme fossilisée	صيغة مجمدة
fourier analysis	analyse de fourier (onde sonore)	طريقة "فورية" في التحليل
free alternant/variant	variante libre	بدل اختياري
free form	forme libre	صيغة مستقلة
free morpheme	morphéme indépendant	دالة مستقلة
free (movable ) stress	accent mobile	نبر متنقل
free position	position libre	موقع غير مقيد
free sentence	phrase indépendante	جملة مستأنفة
free syllabe	syllabe ouverte	مقطع مفتوح
free translation	traduction libre	ترجمة بتصرف
free variation	variation libre	تبدل جائز تنوع أدائي  (في مقابل الوظيفي)
free vowel	voyelle non arrétée	مصوت نهائي (في المقطع) مصوت غير مقيد (غير متبوع بصامت ساكن) نظام الكلمات الحر
frequency	fréquence	تردد (في الأصوات) تواتر
frequency analysis	analyse de fréquence	تحليل التردد
frequency count	analyse de fréquence léxicale	إحصاء الشيوع تحليل إحصائي للمفردات
friction	friction	احتكاك (عند الغربيين) تسريب (عند ابن سينا) رخاوة (عند النحاة والقراء)
frictionless continuant	contoid continus non frictionnels	حروف زمانية غير رخوة صوامت متمادة غير احتكاكية
front mutation	inflexion vocalique	إتباع (الامالة في العربية نوع منه)
front vowel	voyelle d’avant ;voyelle antérieure	مصوت أمامي (من مقدم الفم)
full construction	construction pleine	تركيب تام
full stop	point (ponctuation)	نقطة (النهاية)
full verb	verbe non-auxiliaire	فعل تام
full voice	voisement complet	جهر تام
iunctional analysis	analyse fonctionnelle	تحليل وظيفي
functional and structural theory	théorie fonctionnelle et structurale	النظرية الوظيفية البنوية
functional change	changement phonémique changement catégoriel	تحول وظيفي تحول صوتي تحول من جنس إلى آخر
functional classidication	classification fonctionnelle	تصنيف وظيفي
functionalism	fonctionalisme	النظرية الوظيفية
functional linguistics	lingistique fonctionnelle	اللسانيات الوظيفية
fonctional load/yield	rendement fonctionnel	مردود وظيفي
fonctionnal meaning	sens fonctionnel	معنى وظيفي
functional moneme	monéme fonctionne	عنصر دال (أو منوم) وظيفي
functional shift	changement fonctionnel	كلمة وظيفية
functions of duration	fonction de la quantité	وظائف المد
functions of language	fonctions du langage	وظائف اللغة
functions of pitch	fonctions de la hauteur mélodique	وظيفة طبقة الصوت
functions of stress	fonction de l’accent	وظائف النبر
functives	fonctifs	حدا الوظيفة
functors	foncteur	عامل
fondamental frequency	fréquence fendamentale	تردد أساسي
fondamental pitch	hauteur mélodique  fendamentale	طبقة الصوت الأساسية
fondamental tone	ton fendamental	نغمة أساسية
fusion	fusion	انصهار صياغة واحدة
fusional language	langue fusionante	لغة انصهارية لغة صياغية
future	futur	المستقبل
future particle	particule de futur	أداة استقبال
		
		
		
		
		
		
		
		
		
		
		
		
		
geminate	geminé	مضعف مشدد
gemination	gémination	تضعيف (للصوامت) تشديد) في الكتابة)
geminative contraction	contraction géminative	إدغام
gender	genre	تذكير وتأنيث
gender noun	nom génirique	مؤنث أو مذكر معنوي
genealogical classification	classification génélogique	تصنيف سلالي
general grammar	grammaire générale	النحو العام
generalized transformation	transformation généralisée	تحويل معمم
general linguistics	linguistique générale	اللسانيات العامة
general semantics	sémantique générale	علم المعاني العام (علم دلالة المعاني)
generation	génération	توليد
generative grammar	grammaire générative	نحو توليدي
generative phonology	phonologie générative	فونولوجيا توليدية
generative semantics	sémantique générative	علم المعاني التوليدي
generic grammatical category	catégorie grammaticale générique	جنس نحوي
generic term	terme générique	اسم جنس عام
generous plural	pluriel	توكيد الجمع
genetic classification	classification génétique	تصنيف سلالي
genetic phonetics	phonétique historique	الصوتيات التاريخية
genetic relationship	relation génétique	علاقة وراثية
genetic case	cas génétique	حالة الإضافة (مضاف ومضاف إليه)
geographical classification	classification géographique	تصنيف جغرافي
geographical dialect	dialect régional	لهجة إقليمية
geographical linguistics ;geolinguistics	geolinguistique	اللسانيات الجغرافية
geround	gérendif	مصدر فعلي (في اللاتينية والإنكليزية مثلا)
gestural language	langue gesturelle	لغة الإيماء
ghost form	vox nihili ;barbarisme	صيغة محرفة
gingival	gingival	لثوي
glagolitic alphabet	alphabet glagoltique	نظام الكتابة  الكلاكوليتية  (في السلافية قبل استعمال السيريلية)
glide	glide ;son de transmition	صوت انتقالي  حرف لين
gloss	glose	كلمة موضحة
glossary	glossaire	مسرد لغوي
glossmatics	glossématique	تحليل اللغة  كلوسماتية
glosseme	glosséme	كلوسيم (أصغر وحدة ذات معنى)
glossogram	palatogramme	حنكية (رسم حنكي)
glossolalia	glossolalie	كلوسوليليا لغة سرية خاصة)
glottal	glottal	حنجري
glottal catch	coup de glotte	همزة محققة
glottalic air -stream	colonne d’air glottique	تيار هوائي حنجري
glottatic closure	fermeture glottale	إغلاق حنجري
glottalization	glottalisation	همز نبر
glottalized	glottalisé	مهموز
glottal stop	coup de glotte	همزة
glottis	glotte	فتحة المزوار (فجوة مثلثة بين الأوتار الصوتية)
glottochronology	glottochronologie	تاريخ التشعب اللغوي
glottograph	vibreur glottal	مهزاز حنجري
glottopolitics	linguistique institutionnelle	اللسانيات السياسية
gnemic resent tense	gnomique	صيغة الثبوت مضارع (للدلالة على العادة والتكرار)
geothic alphabet	alphabet geothique	ألفبائية غوتية
gevernee	gouverné	معمول
governement	governement	عمل
governement binding theorie	théorie de gouvernement et de liage	نظرية العامل الأمريكية
govenor	gouverneur	عامل
gradation	gradation	تدرج (مصوتي)
graded area	air de convergence (transmition)	منطقة تدريجية منطقة التلاقي (لغات ولهجات)
grading	classification graduelle	تصنيف تدريجي
graduel opposition	opposition graduelle	تقابل تدريجي
grammar	grammaire	النحو
gramar –translation method	enseignement par la traduction	طريقة القواعد والترجمة (في تعليم اللغات الأجنبية)
grammatical alternation	alternance grammaticale	تناوب نحوي
grammatical borrowing	emprunt grammatical	صيغة دخيلة
grammatical category	catégorie grammaticale	فصيلة نحوية
gramaticality ;grammaticalness	grammaticalité	السلامة النحوية
grammaticalization	grammaticalisation	تحويل إلى أدوات
grammatical meaning	sens grammatical	المعنى التركيبي
grammatical moneme	monéme grammatical	دالة نحوية
grammatical stress	accent grammatical	نبر نحوي
grammatical structure	structure grammaticale	بنية نحوية
grammatical unit	unité grammaticale	وحدة نحوية (وحدة التركيب اللغوي)
grammatology graphics	graphologie	علم الكتابة الوظيفي
grammeme (tagmeme)	gramméme	وحدة نحوية
grammatics	licence poétique	الضرورة الشعرية
graphema ;grapheme	graphème	وحدة خطية  حرف خطي  (في مقابل حرف صوتي)
graphemics ;graphology	graphologie	خطاطة (علم دراسة الخط)
graphic sign	signe graphique	علامة كتابية
Grassmann’s law	loi de Grassmann	قانون كراسمان
grave phoneme	phonème grave	صوت ثقيل ( في مقابل الحاد)
grave phoneme	phonème grave	ثقيل(مقاب حاد)
grat english vowel shift	grande mutation vocalique(du vieil anglais)	تحول المصوتات الإنكليزية في العصر الوسيط
Grimm’s law	loi de Grimm	قانون "كريم"
groove fricative (sibilant)	fricative a langue en creux	صفيري
groundless	immotivé	غير مسبب
group	groupe (syntagmatique)	مجموعة  (في تركيب)
group –inflected language	langue flexipnnelle	لغة تصريفية
guttural	guttural	حلقي
		
		
		
		
		
		
		
		
		
		
		
		
		
habitual aspect	aspect habituel	المتكرر (كيفية حدوث الحدث)
half-close vowel	voyelle mi-fermée voyelle demi-fermée	مصوت نصف   مضيق
half-open vowel	voyelle mi-ouverte voyelle demi-ouverte	مصوت نصف  موسع
half-rounded vowel	voyelle mi-arrondie	مصوت نصف  مضموم
haplography	haplographie	حذف  تصحيفي
haploogy	haplogie	حذف  اختزالي
hard consonant	consonne dure	صامت  صلب
hardening	durcissement	تجميد تشديد
hard ;non palatalized	non-palatisé	صلب  (في المصوتات غير ممال)
hatd palate	palais dur	حنك صلب (سقف الفم في مقابل سقف الحلق)
hard signe	signe dans l’alphabet syrillique. signe pour non-	علامة عدم الترقيم
harmonic	harmonique	التوافقيات
hearing	ouïe	السمع
hearing defect	défaut de l’ouïe	نقص سمعي
heavy stress	accent principal ;accent d’énergie	نبر رئيسي
helper verb	verbe auxiliaire	أداة فعلية
hemistich	hémistiche	مصراع
hésitation form	marque de l’hésitation (e-g-euh !)	صيغة تردد صيغة الاستعانة
hetroclite	hétéroclite	غير مطرد
heterograph	hétérographe	مختلف الكتابة
heterographic spelling	orthographe hétérographique	تهجئة متعددة النطق
heteronomous sound change	changement phonétique hétéronomique	تحول صوتي  متجانس
heteronym	hétéronyme	متجانس (في المعنى)
heteronymous	heteronymique	تجانسي
heteronymy	hétéronomie	تجانس الأسماء
heteroorganic	hétérorgane	مختلف المخرج
hiatus	hiatus	فاصل بين مصوتين
hieratics	écriture hiératiqye	هيراطيقية (نوع من الكتابة المصرية القديمة)
hieroglyph	hiéroglyphe	رمز  هيروغليفي
hieroglyphic	hiéroglyphe	هيروغليفي
high-falling	intonation descendante	حادر بعد صعود
high-low-back	haut-bas-arriére	مرتفع واطئ مؤخر (في مقابل مقدم)
high palte	palatine (voute)	الحنك الأعلى (قبة الحنك)
high vowel	voyelle haute	مصوت مرتفع (يرتفع فيه اللسان)
historical grammar	grammaire hitorique	النحو التاريخي
historical linguistics	linguistique historique	اللسانيات التاريخية
historical phonetics	phonétique historique	الصوتيات التاريخية
historical phonology	phonologie historique	فونولوجيا تاريخية
historical present	présent  historique	مضارع تاريخي (في سرد الأحداث)
hitorical semantics	sémantique historique	علم المعاني التاريخي
hold	tenue (dans l’articulation d’un son)	امتداد الحبس (المرحلة الأولى هي الحبس والمرحلة الأخيرة هي الاطلاق)
holiding period	urée de la tenue	مدة الحبس
holes in the pattern	cases vides	- ثغرات في النمط - خانات فارغة في النظام
holophrase	holophrase	جملة مفردة
holophrastic language	langage holophrasitique	لغة الجمل المفردة
homeotelenton	homéotélenté	سجع
homogene	homogéne	مطرد
homogloss	homogloss  (dictionnaire)	معجم لغات متحد الكتابة
homogram	homogramme	تهجئة مشتركة
homograph	homographe	متحد الكتابة
hompgraphy	homographie	اشتراك في الكتابة
homonionym	synonymie incompléte	شبه ترادف
homonym	homonyme	مشترك لفظي
homonymic clash/conflit	conflit homoymique	تضارب المشتركات
homonymy	homonymie	اشتراك لفظي
homophone	homophone	مشترك صوتي
homophonic clash	conflit homophonique	تضارب المشتركات الصوتية
homophoniy	homophonie	تماثل الصوت
homorganic phonemes /sounds	phonéme (sons),homorganes	وحدلا صوتية متجانسة المخرج
homotopical	homotopique	متحد المخرج (مع غيره)
honorfic form	forme honorifique	صيغة التبجيل
human noun	nom humain	اسم عاقل
hushing sodun	chuintante	حرف التفشي  صوت متفش
hybrid language	langue hybride	لغة هجينة
hydronymy	hydro-onamastique	دراسة أعلام الأنهار والبحيرات
hypallage	hypallage	مشاكلة
hyperbaton	hyperbaton	مخالفة الترتيب
hyperbole	hyperbole	مبالغة
hyper-correction	hypercorrection	حدلقة (فرط التصحيح)
hyperform	hyperforme	صيغة متحذلقة (صيغة مبالغ في تصحيحها)
hyper-urbanisme	hyperurbanisme	حذلقة (فرط التصحيح)
hyphen	trait d’union	علامة الوصل (بين الكلمتين)
hypocirism	hypocorisme	أسلوب التلميح
hypocroristic	hypocoristique	صيغة التحنن
hyponym	hyponyme	-نوع  (تحت الجنس) -فرد الجنس
hyponymy	hyponimie	نوعية (نسبة إلى جنس)
hypostasis	hypostase	-تحول الباب -تحول الجنس
hypotatic clause	phrase subordonnée	-عبارة وصلية -جملة محمولة
hypotaxis	hypotaxe	ربط بالأدوات
hypothetical clause	subordonnéz hypothétique	جملة شرطية  تقديرية
		
		
		
		
		
		
		
		
		
		
		
iamb (foot)	pied (poésie) ;iambe	وحدة شعرية (يامبو)
iconic	icone	أيقونة(ضرب من الكتابة التصويرية) أمثولة (صورة ذات دلالة)
		
iconography	iconographie	دراسة الأيقونات
ictus	ictus	جزء منبور
identification of languages	identification des langues	تشخيص هوية اللغات
identifying units	unités identificatrices	وحدات مشخصة
ideogram ;ideograph	idéogramme ;idéo	تهجئة تمثيلية
ideolect	idéolécte	(وحدة كتابية رامزة للفكرة)
idiom	idiome	لغة او لهجة  عبارة جامدة  (تجري مجرى الأمثال)
idiomatic expression	expression idiomatique	عبارة جامدة  تركيب مثلي
idiomatic translation	traduction idiomatique	نقل التركيب المثلي
idiomatic usage	usage idiomatique	استعمال مثلي
idiomatology	idiomatologie	دراسة العبارات المثلية  دراسة التعابير الاصطلاحية
idiophone	idiophone	أداء صوتي فردي (خاصية صوتية فردية)
idiophoneme	idiophonéme	صوت فردي (خاصة بلهجة الفرد)
idiosyncrasy	idiosyncrasie	سلوك لغوي فردي
illative	illatif	حكم الدخول في الشيئ (حالة إعرابية)
illiteracy	analphabétisme	الأمية
illiterate	illetré	أمي
illocutionary	illocutionnaire	إنشائي (في مقابل خبري)
imitation	imitation	محاكاة
imitation label	onomatopée ;mot imitatif	حكاية صوت
immanence	immanence	الباطنية (مبدأ دراسة اللغة داخليا)
immediate constituent	constituant immédiat	مكون مباشر
immediate speech	propos (parole) direct(e)	كلام عن حاضر
immigrant language/dialect	langue (dialecte) des émigrés	-لغة المهاجرين -لغة المغتربين
immovable speech organs	organes immobiles de la parole	أعضاء النطق الثابتة
imparisyllabic	imparisyllabique	مختلف المقاطع
imperatif	impérative	طلبي (بالأمر أو النهي)
imperfect	imparfait	غير تام
imperfective	imperfectif	فعل استمراري
imperfective aspect	aspect inaccompli	مضارع استمراري
impersonal verb	verbe impersonnel	فعل لا شخصي (فعل بلا فاعل)
implication	implication	لازم المعنى
implication	implication	إضمار
implosion	implosion	حبس  سكون
implosive	implosif	ساكن
impressionistic transcription	transcription impressionniste	كتابة انطباعية
improper compound	composé déclinable	مركب متصرف الأجزاء
improper speech	langage impropre ;argot	سوقية
impulse	impulsion	-تجزية -دفعة حرف
innaccentued	innaccentué	غير منبور
inactive voice	voix passive	بناء للمجهول
inanimate	inanimé	-غير حي -موات
incapsulating language	langue polysynthétique	-لغة تركيبية -لغة مزجية
incapsulation	incorporation	-إدماج -مزج
inceptive (inchoative) aspect	ichoatif	صيغة الشروع
included position	position d’inclusion	-موقع اندراج -موقع اشتمال
included sentence/utterance	proposition incluse	جملة مندرجة
inclusion	inclusion	-اندراج -اشتمال
inclusive first person ;inclusive personal pronoun	pronom ersonnel inclusif	ضمير المتكلم مع المخاطب (الشاملة للمخاطب)
incompatibility	incomptabilité	تنافر
incomplete verb	-verbe transitif -verbr défectif	-متعد -غير متصرف
incongruity	incongruité	عدم التوافق
incontignous assimilation	assimilation à distance	تقريب المتوقع
incroporating conjunction	conjonction de subordination	أداة الوصل  (أداة ربط أو حمل)
incroporating  language	langue polysynthétique	لغة مزجية
incorporation	incoroporation	-مزج -إدماج
incremential transformation	transformation incrémentielle	تحويل بزيادة معنوية
indeclinable	indéclinable ; invariable	مبني من حيث الإعراب فقط  جامد  (من حيث التصريف)
indeginite article/determiner	article(déterminant)  ;indéfini	أداة تنكير
indefinite   prounoun	pronom indéfini	ضمير تنكير
independent  clause	proposition indépendante	جملة مستأنفة
independent element	élément Independant	عنصر مستقل
independent sound change	changement phonétique indépendant	تحول صوتي مستقل
indigenous language	langue indigéne	لغة الأهالي
indirect discours/speech	discours indirect	أسلوب غير محكي
indirect objet	objet indirect	مفعول غير مباشر
indirect question	interrogation indirecte	استفهام تعليقي
individual variant	variante libre	بدل اختياري
indo-european	indo-européan	هندي أوروبي
induced	inducteur	محمول عليه
inducer	organe initiateur  (de (la phonation)	-العضو المحرك -العضو المحدث
inferior comparaison	comparaison  d’inferiorité	مفاضلة بالتنقيص
infinitive verb	verbe infinitf	فعل مصدري (في اللغات الأروبية)
infix	infixe	داخلة (داخل الكلمة)
inflected language	langue inflectionnelle	لغة ذات تصريف
inflectional affix	affixe de flexion	زائدة تصريفية
